,provincia,energia entregada,mes,anio,fecha
387,La Altagracia,28.69296535,1,2021,2021-01-01
388,La Romana,29.68243807,1,2021,2021-01-01
389,Monte Plata,14.30165371,1,2021,2021-01-01
390,San Pedro de Macorís,46.39101281,1,2021,2021-01-01
391,Santo Domingo,234.9997781,1,2021,2021-01-01
392,El Seibo,5.2061715820000005,2,2021,2021-02-01
393,Distrito Nacional,68.82155723000001,2,2021,2021-02-01
394,Hato Mayor,6.434527286000001,2,2021,2021-02-01
395,La Altagracia,26.64278877,2,2021,2021-02-01
396,La Romana,28.08355852,2,2021,2021-02-01
397,Monte Plata,13.03042883,2,2021,2021-02-01
398,San Pedro de Macorís,44.29477962,2,2021,2021-02-01
399,Santo Domingo,220.17214719999998,2,2021,2021-02-01
400,El Seibo,5.853637513000001,3,2021,2021-03-01
401,Distrito Nacional,76.86041248000001,3,2021,2021-03-01
402,Hato Mayor,7.117872035,3,2021,2021-03-01
403,La Altagracia,29.998226239999997,3,2021,2021-03-01
404,La Romana,31.044220579999998,3,2021,2021-03-01
405,Monte Plata,14.583245980000001,3,2021,2021-03-01
406,San Pedro de Macorís,48.44299537,3,2021,2021-03-01
407,Santo Domingo,242.223169,3,2021,2021-03-01
408,El Seibo,5.940652085,4,2021,2021-04-01
409,Distrito Nacional,77.24383222,4,2021,2021-04-01
410,Hato Mayor,7.166517063,4,2021,2021-04-01
411,La Altagracia,30.39392573,4,2021,2021-04-01
412,La Romana,31.48709259,4,2021,2021-04-01
413,Monte Plata,14.64327622,4,2021,2021-04-01
414,San Pedro de Macorís,40.87730742,4,2021,2021-04-01
415,Santo Domingo,246.953343,4,2021,2021-04-01
416,El Seibo,6.62985635,5,2021,2021-05-01
417,Distrito Nacional,85.51007033,5,2021,2021-05-01
418,Hato Mayor,7.85944748,5,2021,2021-05-01
419,La Altagracia,35.10910740999999,5,2021,2021-05-01
420,La Romana,35.25026936,5,2021,2021-05-01
421,Monte Plata,15.17464787,5,2021,2021-05-01
422,San Pedro de Macorís,45.354335479999996,5,2021,2021-05-01
423,Santo Domingo,270.86975515,5,2021,2021-05-01
424,El Seibo,6.45065395,6,2021,2021-06-01
425,Distrito Nacional,81.04898788,6,2021,2021-06-01
426,Hato Mayor,7.62290662,6,2021,2021-06-01
427,La Altagracia,34.256282090000006,6,2021,2021-06-01
428,La Romana,34.19494559,6,2021,2021-06-01
429,Monte Plata,14.47905819,6,2021,2021-06-01
430,San Pedro de Macorís,44.46234586,6,2021,2021-06-01
431,Santo Domingo,258.11358964,6,2021,2021-06-01
432,El Seibo,6.81857367,7,2021,2021-07-01
433,Distrito Nacional,89.23746839,7,2021,2021-07-01
434,Hato Mayor,8.41216383,7,2021,2021-07-01
435,La Altagracia,36.917834570000004,7,2021,2021-07-01
436,La Romana,37.250572659999996,7,2021,2021-07-01
437,Monte Plata,16.00055067,7,2021,2021-07-01
438,San Pedro de Macorís,47.83201907,7,2021,2021-07-01
439,Santo Domingo,279.30884233,7,2021,2021-07-01
440,El Seibo,7.16850891,8,2021,2021-08-01
441,Distrito Nacional,87.32536284,8,2021,2021-08-01
442,Hato Mayor,8.39774162,8,2021,2021-08-01
443,La Altagracia,37.55307051,8,2021,2021-08-01
444,La Romana,37.99598818,8,2021,2021-08-01
445,Monte Plata,16.19012084,8,2021,2021-08-01
446,San Pedro de Macorís,47.309656229999995,8,2021,2021-08-01
447,Santo Domingo,269.7944286,8,2021,2021-08-01
448,El Seibo,6.64449524,9,2021,2021-09-01
449,Distrito Nacional,92.27852184000001,9,2021,2021-09-01
450,Hato Mayor,8.02649489,9,2021,2021-09-01
451,La Altagracia,36.53910643,9,2021,2021-09-01
452,La Romana,37.7021894,9,2021,2021-09-01
453,Monte Plata,16.36640131,9,2021,2021-09-01
454,San Pedro de Macorís,47.31149431,9,2021,2021-09-01
455,Santo Domingo,287.18269239999995,9,2021,2021-09-01
456,El Seibo,6.729289059999999,10,2021,2021-10-01
457,Distrito Nacional,90.33200795,10,2021,2021-10-01
458,Hato Mayor,8.10812867,10,2021,2021-10-01
459,La Altagracia,36.612037840000006,10,2021,2021-10-01
460,La Romana,37.1785422,10,2021,2021-10-01
461,Monte Plata,16.07329344,10,2021,2021-10-01
462,San Pedro de Macorís,46.553658090000006,10,2021,2021-10-01
463,Santo Domingo,278.98128842,10,2021,2021-10-01
464,El Seibo,6.49411742,11,2021,2021-11-01
465,Distrito Nacional,86.97496899,11,2021,2021-11-01
466,Hato Mayor,7.9382129500000005,11,2021,2021-11-01
467,La Altagracia,34.19709951,11,2021,2021-11-01
468,La Romana,35.190637530000004,11,2021,2021-11-01
469,Monte Plata,15.58012397,11,2021,2021-11-01
470,San Pedro de Macorís,44.985584079999995,11,2021,2021-11-01
471,Santo Domingo,264.99486325,11,2021,2021-11-01
472,El Seibo,6.5986289000000005,12,2021,2021-12-01
473,Distrito Nacional,81.29899081999999,12,2021,2021-12-01
474,Hato Mayor,7.8111369900000005,12,2021,2021-12-01
475,La Altagracia,33.587395189999995,12,2021,2021-12-01
476,La Romana,34.2536341,12,2021,2021-12-01
477,Monte Plata,16.00746972,12,2021,2021-12-01
478,San Pedro de Macorís,44.15089962,12,2021,2021-12-01
479,Santo Domingo,249.60408923,12,2021,2021-12-01
480,El Seibo,6.22000998,1,2022,2022-01-01
481,Distrito Nacional,78.21041906,1,2022,2022-01-01
482,Hato Mayor,7.34710148,1,2022,2022-01-01
483,La Altagracia,31.984124100000002,1,2022,2022-01-01
484,La Romana,32.52546012,1,2022,2022-01-01
485,Monte Plata,15.33060859,1,2022,2022-01-01
486,San Pedro de Macorís,43.301215549999995,1,2022,2022-01-01
487,Santo Domingo,245.59222529,1,2022,2022-01-01
488,El Seibo,5.38598928,2,2022,2022-02-01
489,Distrito Nacional,69.6424259,2,2022,2022-02-01
490,Hato Mayor,6.415197909,2,2022,2022-02-01
491,La Altagracia,28.178863449999998,2,2022,2022-02-01
492,La Romana,28.901149739999997,2,2022,2022-02-01
